"GEO","Date","Employed_working","Employed_absent","Unemployed","Not_in_LF","16_to_24_years","25_to_34_years","35_to_44_years","45_to_54_years","55_to_64_years","over_65_years","Male","Female","Married","Common_Law","Widowed","Separated","Divorced","Single","Minimal_Educ","Some_High_School","High_School","Some_Postsecondary","Postsecondary","Bachelors","Above_Bachelors","Employee","Self_Employed","Unattached","Couple/Dual/no_kid","Couple/Dual/young_kid","Couple/Dual/old_kid","Couple/Single_earn/no_kid","Couple/Single_earn/young_kid","Couple/Single_earn/old_kid","Couple/Non_earn/no_kid","Couple/Non_earn/young_kid","Couple/Non_earn/old_kid","Lone/Empl/young_kid","Lone/Empl/old_kid","Lone/Unempl/young_kid","Lone/Unempl/old_kid","Other_Fam","YKID_newborn_preK","YKID_schoolage","YKID_Teen","YKID_adult","HRLYEARN"
"Alberta",2013-01-01,0.63985,0.0432,0.03431,0.28264,0.15833,0.18868,0.16901,0.19671,0.14727,0.13999,0.50373,0.49627,0.50024,0.09954,0.04017,0.02628,0.05842,0.27536,0.04263,0.15276,0.23424,0.06522,0.33037,0.12837,0.04641,0.63768,0.12459,0.19879,0.16608,0.18159,0.04499,0.08479,0.0811,0.01843,0.07836,0.00605,0.00236,0.03592,0.01853,0.01267,0.0034,0.06693,0.11891,0.07524,0.05104,0.04566,27.6330806640953
"Alberta",2013-02-01,0.63817,0.04689,0.03434,0.28059,0.16039,0.1937,0.167,0.19634,0.14794,0.13464,0.50184,0.49816,0.49486,0.10227,0.04,0.02529,0.05887,0.27871,0.04227,0.15134,0.23295,0.06718,0.33437,0.12435,0.04755,0.63572,0.12624,0.19983,0.16643,0.18615,0.04557,0.08614,0.08152,0.01934,0.07557,0.00453,0.00208,0.03736,0.01698,0.00915,0.00377,0.06557,0.11671,0.07614,0.05217,0.04548,27.445292441763
"Alberta",2013-03-01,0.63935,0.04236,0.0353,0.28299,0.15953,0.19349,0.16983,0.19321,0.15037,0.13358,0.50081,0.49919,0.49222,0.10743,0.03912,0.02404,0.05868,0.2785,0.04131,0.14951,0.23366,0.06784,0.32993,0.12871,0.04904,0.63649,0.12604,0.19922,0.16716,0.18472,0.04513,0.08472,0.08291,0.01822,0.07738,0.00716,0.00315,0.03702,0.01765,0.00906,0.00239,0.06412,0.11363,0.07805,0.054,0.04513,27.6441656744344
"Alberta",2013-04-01,0.63648,0.04401,0.03441,0.2851,0.1606,0.19163,0.16944,0.19144,0.15176,0.13512,0.50287,0.49713,0.4882,0.10588,0.03987,0.02398,0.06234,0.27974,0.04165,0.15411,0.23545,0.06714,0.326,0.12741,0.04824,0.63432,0.12534,0.20414,0.16737,0.18862,0.04758,0.07842,0.08265,0.01589,0.07588,0.00386,0.00329,0.03583,0.01899,0.00969,0.00339,0.06441,0.11067,0.07814,0.05529,0.04664,27.4549899193548
"Alberta",2013-05-01,0.64365,0.05037,0.03433,0.27164,0.15862,0.18854,0.17118,0.19032,0.15261,0.13873,0.50239,0.49761,0.49564,0.10327,0.04137,0.02411,0.05919,0.27643,0.0423,0.15092,0.23994,0.06641,0.32305,0.12879,0.04859,0.63671,0.12654,0.20486,0.16462,0.18985,0.05103,0.08198,0.08517,0.01435,0.0696,0.00703,0.00385,0.03517,0.01688,0.00938,0.00319,0.06303,0.11622,0.07776,0.05637,0.04671,27.3946147527518
"Alberta",2013-06-01,0.63987,0.0489,0.03494,0.27628,0.15335,0.18906,0.1702,0.18666,0.15325,0.14748,0.49817,0.50183,0.49952,0.10021,0.04313,0.02349,0.05737,0.27628,0.04216,0.15402,0.23652,0.06594,0.32316,0.12957,0.04861,0.6315,0.12505,0.20081,0.16346,0.18281,0.05237,0.08577,0.09107,0.01502,0.07249,0.00635,0.00308,0.03244,0.01569,0.00963,0.00308,0.06594,0.11725,0.07894,0.05285,0.04669,27.6160787642166
"Alberta",2013-07-01,0.61225,0.07824,0.03406,0.27545,0.15399,0.19464,0.16802,0.18729,0.14817,0.14789,0.50453,0.49547,0.49671,0.10371,0.04284,0.0229,0.05562,0.27822,0.04351,0.15161,0.23967,0.06478,0.32354,0.12833,0.04856,0.63009,0.12976,0.20189,0.16019,0.17804,0.0458,0.0831,0.09694,0.02185,0.07432,0.00801,0.0042,0.03063,0.01288,0.00906,0.00305,0.07003,0.12155,0.0789,0.04933,0.0457,27.2098243836542
"Alberta",2013-08-01,0.60047,0.09427,0.03799,0.26727,0.1531,0.19024,0.17234,0.18219,0.14998,0.15216,0.50327,0.49673,0.50355,0.0991,0.04292,0.02264,0.05637,0.27541,0.04282,0.15244,0.24244,0.06405,0.31767,0.13216,0.04841,0.6288,0.13245,0.19905,0.16182,0.18475,0.0486,0.08622,0.09,0.01734,0.07276,0.0073,0.00407,0.02852,0.01364,0.01033,0.00218,0.07342,0.1208,0.07987,0.04747,0.04491,27.3344861064613
"Alberta",2013-09-01,0.64147,0.04636,0.02894,0.28323,0.15375,0.19002,0.17136,0.18545,0.14832,0.15109,0.50352,0.49648,0.50657,0.09568,0.04208,0.02475,0.05474,0.27618,0.04037,0.15289,0.24238,0.06769,0.31464,0.13414,0.04789,0.6269,0.12919,0.19688,0.16698,0.18688,0.04827,0.09082,0.08521,0.01523,0.06893,0.00543,0.00238,0.03142,0.01257,0.01209,0.00276,0.07416,0.12233,0.07683,0.04855,0.0436,27.7296985094851
"Alberta",2013-10-01,0.63926,0.04144,0.03167,0.28763,0.15815,0.19301,0.16642,0.18493,0.14696,0.15054,0.50179,0.49821,0.50733,0.09378,0.04191,0.025,0.05215,0.27983,0.03937,0.15317,0.23764,0.07001,0.31507,0.13719,0.04755,0.62253,0.13024,0.19395,0.16867,0.18549,0.04492,0.0904,0.0872,0.01569,0.06935,0.00789,0.00291,0.03204,0.01118,0.01193,0.00197,0.0764,0.12441,0.07245,0.05121,0.04116,27.7873754659437
"Alberta",2013-11-01,0.63836,0.04119,0.03237,0.28807,0.16074,0.19574,0.16355,0.18476,0.14779,0.14741,0.49883,0.50117,0.5038,0.09627,0.04101,0.02205,0.05358,0.28329,0.03678,0.15567,0.24153,0.07009,0.31332,0.13465,0.04795,0.62729,0.12611,0.18908,0.16309,0.19049,0.04467,0.08924,0.08783,0.01623,0.0746,0.00601,0.00272,0.03012,0.01239,0.01229,0.00235,0.07892,0.12818,0.07207,0.05123,0.04213,27.5968868717431
"Alberta",2013-12-01,0.63255,0.04176,0.03151,0.29418,0.16415,0.18867,0.16629,0.18503,0.14998,0.14588,0.50261,0.49739,0.5082,0.0975,0.03812,0.02144,0.05155,0.28318,0.03542,0.15166,0.24478,0.07112,0.31087,0.13833,0.04782,0.63358,0.12118,0.18494,0.1593,0.1909,0.04456,0.08939,0.08688,0.01939,0.07923,0.00699,0.0027,0.0289,0.0123,0.01296,0.00317,0.07839,0.12509,0.07299,0.05285,0.04418,27.8456148569516
"British Columbia",2013-01-01,0.52533,0.04545,0.04505,0.38417,0.14477,0.14116,0.14998,0.17712,0.18166,0.20532,0.48135,0.51865,0.50154,0.09638,0.05561,0.0262,0.06349,0.25678,0.03409,0.14303,0.23379,0.10547,0.31801,0.10426,0.06136,0.53429,0.12151,0.2116,0.13488,0.16107,0.0381,0.0921,0.07192,0.01764,0.13701,0.00775,0.00348,0.03342,0.01404,0.0151,0.00642,0.05547,0.10092,0.0663,0.0516,0.04224,23.786723479283
"British Columbia",2013-02-01,0.52664,0.05016,0.04543,0.37777,0.14319,0.14278,0.14792,0.17428,0.18402,0.20782,0.48012,0.51988,0.50095,0.09248,0.05773,0.02785,0.06679,0.25419,0.03542,0.14508,0.23256,0.10627,0.31463,0.10587,0.06017,0.52961,0.12317,0.21255,0.13345,0.16658,0.03853,0.09221,0.0676,0.01988,0.12912,0.00717,0.00311,0.03759,0.01501,0.01393,0.00595,0.05733,0.10533,0.06409,0.05138,0.04354,23.6105036818851
"British Columbia",2013-03-01,0.51053,0.05375,0.04595,0.38977,0.14401,0.1358,0.14579,0.17246,0.18846,0.21348,0.48345,0.51655,0.50574,0.0904,0.05689,0.02722,0.06975,0.25,0.03775,0.14374,0.23427,0.10243,0.31838,0.10339,0.06004,0.53337,0.11529,0.20829,0.12623,0.1689,0.03898,0.09409,0.06688,0.01928,0.13662,0.0093,0.00356,0.03597,0.01655,0.01313,0.00465,0.05758,0.10544,0.06209,0.05252,0.04376,23.6207590361446
"British Columbia",2013-04-01,0.51764,0.04806,0.03985,0.39445,0.13907,0.13705,0.14688,0.16747,0.19332,0.21621,0.48209,0.51791,0.50646,0.09289,0.05789,0.02787,0.06691,0.24798,0.03904,0.13516,0.23654,0.10191,0.32606,0.1042,0.05708,0.53231,0.11134,0.20692,0.13261,0.15684,0.04389,0.09316,0.06826,0.01979,0.14243,0.00983,0.00256,0.03796,0.01414,0.01064,0.00417,0.05681,0.09828,0.06637,0.04887,0.04443,23.7604125219427
"British Columbia",2013-05-01,0.52576,0.04964,0.04776,0.37684,0.14073,0.14073,0.14932,0.1626,0.1909,0.21572,0.48283,0.51717,0.50563,0.09512,0.05702,0.0275,0.06721,0.24752,0.04105,0.13764,0.24001,0.09887,0.32117,0.10545,0.05581,0.53166,0.1147,0.19962,0.13456,0.15723,0.04441,0.09431,0.06909,0.01838,0.1414,0.01127,0.00295,0.03904,0.01261,0.00939,0.00577,0.05997,0.09726,0.06668,0.04843,0.04441,23.5208537640611
"British Columbia",2013-06-01,0.54183,0.04515,0.03986,0.37315,0.13505,0.14169,0.14292,0.16786,0.19254,0.21993,0.48339,0.51661,0.50129,0.09247,0.06102,0.02807,0.06685,0.25031,0.04217,0.13573,0.24258,0.0941,0.32027,0.10902,0.05614,0.53817,0.11539,0.20678,0.13519,0.15458,0.04637,0.09031,0.06712,0.01505,0.14156,0.00922,0.00217,0.04217,0.0118,0.01071,0.00312,0.06386,0.09437,0.06861,0.04746,0.04203,23.4864668949772
"British Columbia",2013-07-01,0.51359,0.07356,0.04144,0.3714,0.13579,0.14019,0.14646,0.17004,0.1859,0.22162,0.48894,0.51106,0.5008,0.09688,0.0585,0.02772,0.06783,0.24827,0.04224,0.1326,0.24987,0.09675,0.31303,0.11021,0.0553,0.54025,0.11634,0.20722,0.131,0.15005,0.04451,0.09382,0.07556,0.01959,0.14072,0.01026,0.0024,0.03505,0.01373,0.00986,0.0036,0.06263,0.09688,0.07103,0.04478,0.04424,23.273042869151
"British Columbia",2013-08-01,0.50033,0.08966,0.04423,0.36578,0.13045,0.14157,0.14501,0.17402,0.18541,0.22355,0.4945,0.5055,0.50444,0.09879,0.05721,0.02569,0.06728,0.24659,0.03973,0.12806,0.24937,0.09707,0.31612,0.11283,0.05681,0.53953,0.11667,0.21057,0.13826,0.1519,0.0441,0.09694,0.07019,0.01364,0.14223,0.00808,0.00331,0.03165,0.01139,0.01258,0.00318,0.06198,0.09138,0.07363,0.04397,0.04052,23.2144869661675
"British Columbia",2013-09-01,0.53749,0.04686,0.03775,0.3779,0.13107,0.13807,0.1477,0.17437,0.18268,0.22611,0.49353,0.50647,0.5033,0.10362,0.05953,0.02455,0.06481,0.24419,0.03986,0.12936,0.24921,0.0953,0.31362,0.1151,0.05755,0.53788,0.11299,0.21357,0.14361,0.15483,0.04197,0.09161,0.06626,0.01069,0.14572,0.00647,0.00554,0.03353,0.0099,0.01082,0.00396,0.06151,0.08831,0.07352,0.04541,0.03907,23.6101052631579
"British Columbia",2013-10-01,0.53837,0.04714,0.03986,0.37463,0.13349,0.14336,0.14712,0.174,0.17881,0.22322,0.49643,0.50357,0.50383,0.10219,0.05804,0.02363,0.06571,0.24659,0.03675,0.12907,0.24386,0.09648,0.31736,0.11596,0.06051,0.54318,0.11479,0.21387,0.14011,0.15504,0.04155,0.09297,0.07246,0.01065,0.14193,0.00506,0.0039,0.03454,0.0126,0.01182,0.00312,0.06038,0.09505,0.07194,0.04519,0.03935,23.8464989059081
"British Columbia",2013-11-01,0.53424,0.04587,0.0399,0.37999,0.13138,0.14373,0.14503,0.17154,0.1809,0.22742,0.49578,0.50422,0.50058,0.10565,0.05731,0.02534,0.0694,0.24172,0.03522,0.13294,0.23912,0.09539,0.31878,0.11878,0.05978,0.54646,0.10994,0.21235,0.13697,0.15841,0.04042,0.09448,0.06927,0.01118,0.14412,0.00663,0.00169,0.03535,0.01326,0.01326,0.00403,0.05861,0.09929,0.06875,0.04821,0.03873,24.0284321223709
"British Columbia",2013-12-01,0.53405,0.04192,0.04374,0.38029,0.13618,0.14477,0.14412,0.17498,0.18149,0.21846,0.4946,0.5054,0.49863,0.1078,0.05403,0.02526,0.07017,0.24411,0.03203,0.13345,0.23265,0.09986,0.32431,0.11704,0.06067,0.54915,0.10845,0.20805,0.13722,0.15883,0.04075,0.09165,0.07187,0.01211,0.14425,0.01002,0.00208,0.03424,0.01719,0.01276,0.00404,0.05494,0.10038,0.06653,0.05156,0.04075,24.1270429515418
